index,Finnish,frequency,English
48090,silmilleni,143,in my eyes
48091,gardenissa,143,In Garden
48092,joululahjan,143,christmas gift
48093,tulemmeko,143,will we
48094,ryhdyimme,143,We started
48095,heath,143,heath
48096,kapteenimme,143,captain
48097,luoliin,143,to caves
48098,newmanin,143,Newman
48099,uskonne,143,your faith
48100,yrittämättä,143,without trying
48101,viimeisetkin,143,last
48102,erikoisyksikkö,143,special unit
48103,pahakseni,143,wrong
48104,huomioita,143,note
48105,selitit,143,explained
48106,tarkistit,143,checked
48107,sukunne,143,in your mouth
48108,jordi,143,Jordi
48109,toivomuksia,143,wishes
48110,linja-auto,143,bus
48111,veremme,143,our blood
48112,kaikkineen,143,all
48113,ulkoministeriöstä,143,From the Foreign Ministry
48114,lisasta,143,out
48115,vincelle,143,Vincelle
48116,ilahduttavaa,143,gratifying
48117,kykyjen,142,abilities
48118,ilmastointiteippiä,142,air-conditioning tape
48119,tärkeydestä,142,about
48120,sairastut,142,sick
48121,alistaa,142,subject
48122,aitiossa,142,in a
48123,lavaa,142,lap
48124,luodilla,142,bully
48125,hercules,142,Hercules
48126,suklaakakkua,142,chocolate cake
48127,levittänyt,142,spread
48128,viton,142,viton
48129,sankarinsa,142,hero
48130,metelistä,142,make up
48131,tessan,142,Tessa
48132,juurta,142,root
48133,näkemyksiä,142,view
48134,urallasi,142,in your career
48135,tonnikala,142,tuna
48136,hankkisi,142,would
48137,tehokkaammin,142,more efficiently
48138,nauttineet,142,enjoys
48139,painaako,142,push
48140,puuhista,142,lump
48141,peittele,142,cover up
48142,mukavassa,142,in a nice
48143,ihanaan,142,wonderful
48144,malaria,142,malaria
48145,perus,142,basic
48146,puhelinnumerot,142,phone numbers
48147,lieden,142,lieden
48148,betoni,142,concrete
48149,varataan,142,reserved
48150,ahmii,142,ahmies
48151,käyttäydytään,142,behave
48152,ollien,142,Olli
48153,rahahuolia,142,cashcare
48154,piirikunnasta,142,district
48155,munakkaan,142,eggs
48156,lopetella,142,be finishing
48157,korkeuden,142,height
48158,rasisteja,142,racks
48159,saippuan,142,soap
48160,howardille,142,to Howard
48161,nokosille,142,To the nosko
48162,saralle,142,to
48163,scyllan,142,Scyllan
48164,allekirjoitukset,142,signatures
48165,oppeja,142,doctrine
48166,ac,142,AC
48167,tykistön,142,artillery
48168,vasikoita,142,calves
48169,veikkaat,142,steel
48170,purjehtii,142,sail
48171,yhtiöltä,142,from the company
48172,viivalla,142,by a line
48173,llmoita,142,lllo
48174,tuberkuloosi,142,tuberculosis
48175,höpisee,142,booster
48176,paskapuheet,142,shit
48177,lusikalla,142,spoon
48178,pelästyneeltä,142,frightened
48179,limsan,142,Limsan
48180,boriksen,142,boris
48181,nälässä,142,hunger
48182,taiteilijoiden,142,artists
48183,ahneudesta,142,from greedy
48184,suutelisi,142,would be kissed
48185,saattuetta,142,performed
48186,hallitsette,142,you rule
48187,vihaisempi,142,angry
48188,lehmien,142,cows
48189,hymyilin,142,i smiled
48190,pyyhkivät,142,wipe
48191,aleksei,142,Alexei
48192,hermione,142,Hermione
48193,gigolo,142,gigolo
48194,uskottele,142,rebelieve
48195,ein,142,ein
48196,paisuu,142,swell
48197,keskustelustamme,142,Our conversation
48198,roadia,142,Road
48199,tarkoitankin,142,I mean
48200,julkaisu,142,publication
48201,socrates,142,Socrates
48202,tarjottimen,142,tray
48203,farmin,142,farm
48204,vähäpätöinen,142,insignificant
48205,viimeistele,142,finish
48206,kaipasinkin,142,longing
48207,tervetullutta,142,welcome
48208,sieppaamaan,142,capture
48209,varautukaa,142,prepare
48210,purkauksen,142,discharge
48211,torjun,142,recess
48212,cappuccinoa,142,cappuccino
48213,hengitämme,142,We breathe
48214,macdonald,142,Macdonald
48215,ranskalaisista,142,French
48216,palkkanne,142,reared
48217,alapuolellamme,142,underneath
48218,kookas,142,big
48219,addisonin,142,addison
48220,rahapulassa,142,in a fashion
48221,jumalaista,142,divine
48222,kaupunkiamme,142,Our town
48223,pahimmasta,142,worst
48224,yritetä,142,attempt
48225,liikemiehet,142,businessmen
48226,surullisin,142,saddled
48227,taustatutkimusta,142,background study
48228,jälkeistä,142,after
48229,kiihtyi,142,accelerated
48230,arkipäivää,142,everyday
48231,sankareiden,142,heroes
48232,morganille,142,to Morgan
48233,katkeria,142,bitter
48234,schoolista,142,From School
48235,kasvoihini,142,in my face
48236,sandran,142,Sandran
48237,vitsistä,142,joy
48238,lexiä,142,lex
48239,arkistoista,142,archives
48240,aines,142,material
48241,eddietä,142,edd
48242,ipod,142,iPod
48243,ryuzaki,142,ryuzaki
48244,vauraus,142,prosperity
48245,sairautesi,142,your illness
48246,lisäsimme,142,We added
48247,tämänpäiväisestä,142,of today's
48248,riistettiin,142,was deprived of
48249,konkurssissa,142,in bankruptcy
48250,oppineen,142,scholarship
48251,teppo,142,Teppo
48252,kylpyammeeseen,142,bathtub
48253,hämäys,142,bluff
48254,atomi,142,atom
48255,koittaisi,142,would
48256,sijaitsevat,142,are located
48257,rautatietä,142,railway
48258,varamies,142,deputy
48259,syntisen,142,sinful
48260,välttelevät,142,avoid
48261,hievahdakaan,142,jerk
48262,serkut,142,cousins
48263,linssiin,142,to the lens
48264,ketjureaktion,142,chain reaction
48265,ruosteinen,142,rusty
48266,mahtavaan,142,awful
48267,ennakkoluuloinen,142,prejudiced
48268,ya,142,ya
48269,freelancer,142,freelancer
48270,suostutteko,142,do you agree
48271,kihlattunsa,142,joined
48272,paratiisista,142,from paradise
48273,pitäiskö,142,shoulder
48274,paisti,142,roast
48275,woodsin,142,Woods
48276,yrittäessäsi,142,When you try
48277,rauhanomainen,142,peaceful
48278,bennie,142,Bennie
48279,turvavyösi,142,seatbelt
48280,tämmöistä,142,from this
48281,villien,142,wild
48282,takku,142,knot
48283,kuolemisen,142,death
48284,godzilla,142,Godzilla
48285,tapasiko,142,tapas
48286,pelastusoperaatio,142,rescue operation
48287,nauttimassa,142,enjoys
48288,nukuitteko,142,do you sleep
48289,tunnoton,142,numb
48290,tsa,142,TSA
48291,kodistasi,142,your home
48292,single,142,single
48293,kaasut,142,gases
48294,munansa,142,egg
48295,bagdadin,142,Baghdad
48296,bussille,142,to the bus
48297,hanhen,142,goose
48298,tunteeseen,142,feeling
48299,yllätyt,142,surprised
48300,purkautua,142,burst
48301,kaljupää,142,baldhead
48302,työssänne,142,in your work
48303,kysehän,142,asking
48304,fuksi,142,freshman
48305,näyttelemisen,142,acting
48306,lvan,142,lvan
48307,sormiaan,142,fingers
48308,kytkettynä,142,connected
48309,shannonin,142,Shannon
48310,hemmetinmoinen,142,damnable
48311,kooma,142,coma
48312,käyvä,142,fair
48313,murhissa,142,in murder
48314,suunnittelevan,142,planning
48315,lämmitystä,142,heating
48316,käyttöömme,142,our use
48317,höperö,142,batty
48318,kilpailijoiden,142,competitors
48319,majesteetin,142,majesty
48320,murskaat,142,crushes
48321,loitte,142,you created
48322,jamaan,142,jam
48323,sekaannuin,142,confused
48324,suojiin,142,on
48325,pelkkään,142,merely
48326,luotettu,142,trusted
48327,keyes,142,Keyes
48328,vietitte,142,extended
48329,robinille,142,to Robin
48330,kultsu,142,coming
48331,gallagherin,142,Gallagher
48332,kerääminen,142,ceramic
48333,ihmisetkin,142,humans
48334,päivitetty,142,updated
48335,valintamme,142,Our choice
48336,neo,142,neo
48337,lähestymistapaa,142,approach
48338,burgess,142,Burgess
48339,ring,142,ring
48340,katselevan,142,viewing
48341,seania,142,sean
48342,nekrun,142,necrun
48343,arvostin,142,appreciated
48344,asiakirjoista,142,documents
48345,selviytyisi,142,would survive
48346,nyrkkeilyn,142,boxing
48347,varsovan,142,Warsaw
48348,eleen,142,gesture
48349,vitsisi,142,joke
48350,lihottaa,142,fatten
48351,lääketieteellisesti,142,medically
48352,seuraaviin,142,to the following
48353,kaukaiseen,142,to a distant
48354,paholaisesta,142,from the devil
48355,tekohengitystä,142,artificial respiratory
48356,zulu,142,Zulu
48357,olittekaan,142,you'd
48358,nuoremmat,142,younger
48359,taita,142,fold
48360,nukkuisit,142,You would sleep
48361,kundeista,141,on the knit
48362,terapeuttia,141,therapist
48363,hub,141,HUB
48364,persoonassa,141,in person
48365,murskasin,141,smashed
48366,vanhemmuus,141,parenthood
48367,maaston,141,terrain
48368,kertomisesta,141,about telling about
48369,kämppäkaverini,141,my roommate
48370,puertoricolainen,141,Puertorican
48371,valokeilassa,141,in the spotlight
48372,tandy,141,tandy
48373,asein,141,weapons
48374,voimala,141,power station
48375,nimitetty,141,nominated
48376,nottinghamin,141,Nottingham
48377,lakini,141,lake
48378,ohun,141,thin
48379,omistautua,141,dedicate
48380,oomme,141,one's own
48381,renossa,141,reno
48382,pelastajani,141,my savior
48383,paetessaan,141,in palette
48384,aidoilta,141,fence
48385,kukkivat,141,bloom
48386,vanhuus,141,old age
48387,liekkiä,141,flame
48388,minnesotan,141,minnesotan
48389,tätäkään,141,present
48390,serrano,141,serrano
48391,kranaattia,141,grenade
48392,tuhottua,141,destroyed
48393,poliittiseen,141,political
48394,georgiasta,141,Georgia
48395,päästäisitkö,141,Would you get out please
48396,tyylikkäät,141,stylish
48397,suunnitelmastasi,141,your plan
48398,journalismin,141,journalism
48399,palavasta,141,burning
48400,asensimme,141,We installed
48401,mode,141,mode
48402,ryyppäämässä,141,in a rocket
48403,medici,141,Medici
48404,nukuitte,141,you slept
48405,billings,141,Billings
48406,tankissa,141,in the tank
48407,viilu,141,veneer
48408,uhanalainen,141,endangered
48409,liikenee,141,traffic
48410,lumesta,141,from the snow
48411,tottelemme,141,we obey
48412,keksittyjä,141,invented
48413,ilmakehää,141,atmosphere
48414,maalaiset,141,peal
48415,käsiänne,141,in your hands
48416,80-vuotias,141,80 years old
48417,kevätloma,141,spring holiday
48418,muodostamaan,141,make up
48419,flirttaile,141,flirt
48420,halvempia,141,cheaper
48421,potkaisit,141,kick off
48422,stanfordissa,141,In Stanford
48423,montakohan,141,many
48424,suudelleet,141,kisses
48425,kirurgia,141,surgery
48426,saavutin,141,reached
48427,canyonin,141,canyon
48428,alkkarit,141,alchens
48429,viihtyisi,141,would enjoy
48430,lisääntyminen,141,increase
48431,hunajan,141,honey
48432,todennut,141,stated
48433,molesley,141,molesty
48434,inspiroiva,141,inspirational
48435,chardonnayta,141,Chardonny
48436,haittaavan,141,hinder
48437,vaarattomaksi,141,harmless
48438,rauhoittuvat,141,calm down
48439,juttelitko,141,Did you talk
48440,henkivartijoita,141,bodyguards
48441,kaljuksi,141,bald
48442,konttori,141,office
48443,symbolinen,141,symbolic
48444,radcliffe,141,Radcliffe
48445,työjuttuja,141,Workstuffs
48446,suoritettava,141,performed
48447,tasapainottaa,141,balance
48448,kehästä,141,perimeter
48449,palautettua,141,returned
48450,kansalleni,141,to my people
48451,voinpas,141,I can
48452,historiansa,141,history
48453,kumppaniksi,141,partner
48454,ilmentymä,141,embodiment
48455,älykkäämpiä,141,smarter
48456,asunnollesi,141,your apartment
48457,droidit,141,droids
48458,huonontunut,141,impaired
48459,estämisestä,141,inhibit
48460,taikatemppu,141,magic trick
48461,karuselli,141,carousel
48462,varoittivat,141,warned
48463,valitun,141,chosen
48464,julkkiksen,141,celebrity
48465,hellan,141,hell
48466,boca,141,boca
48467,pojallasi,141,with your son
48468,ystävättäreni,141,friend to my friend
48469,kannattiko,141,support
48470,laulunsa,141,song
48471,kostaaksesi,141,to revenge
48472,sienen,141,sponge
48473,syvyydestä,141,depth
48474,väärennöksen,141,counterfeit
48475,sotketa,141,tough
48476,velhoja,141,wizard
48477,syödäkseen,141,to eat
48478,tunnistettava,141,recognizable
48479,nasir,141,nasir
48480,siirryit,141,you moved
48481,wien,141,Vienna
48482,viritin,141,tuner
48483,epäselviä,141,unclear
48484,chicagoa,141,chicago
48485,hehkut,141,glow
48486,valvojat,141,supervisors
48487,johdattavat,141,lead
48488,saxon,141,Saxon
48489,puukota,141,stabbing
48490,tarjouksessa,141,on offer
48491,tediä,141,teddy
48492,shapiro,141,shapiro
48493,hengelläsi,141,for your spirits
48494,heivaa,141,heaven
48495,uskaltavat,141,dare
48496,pyjaman,141,pyjaman
48497,viihdykettä,141,entertainment
48498,shoppailla,141,shop
48499,sissit,141,sissit
48500,emotionaalisesti,141,emotionally
48501,kapitalismi,141,capitalism
48502,yritetäänpä,141,attempt
48503,chambersin,141,Chambers
48504,hutchinson,141,Hutchinson
48505,väkeään,141,whistle
48506,hylätkää,141,reject
48507,bagdadiin,141,to Baghdad
48508,käsineitä,141,gloves
48509,mafialle,141,to the mafia
48510,koskevia,141,on
48511,älliä,141,outstanding
48512,sysätä,141,push
48513,mendel,141,mendel
48514,vahingoittui,141,damaged
48515,itsenäisyyspäivän,141,Independence Day
48516,naistenhuoneeseen,141,In the women's room
48517,miekasta,141,sword
48518,lynchin,141,Lynch
48519,ranskikset,141,Frances
48520,maatanne,141,your country
48521,aloittavan,141,starting
48522,hyökkäätte,141,attack
48523,vilaukselta,141,vibrant
48524,lopeteta,141,stop
48525,tulevaisuudestani,141,from my future
48526,koulupoika,141,schoolboy
48527,loistojuttu,141,splendor
48528,liittyvästä,141,associated with
48529,valvomassa,141,under control
48530,putkesta,141,from the tube
48531,ihmislihaa,141,human beings
48532,rukouksiini,141,prayer
48533,näköalaa,141,view
48534,potenssiin,141,to the potency
48535,er,141,er
48536,shafty,141,Shafty
48537,pienoismalli,141,scale model
48538,luontaista,141,inherent
48539,kuvittelitko,141,Did you imagine
48540,tutkimattomat,141,unexplored
48541,taistelitte,141,fought
48542,tilillesi,141,In your account
48543,käpälät,141,paws
48544,suomennoksen,141,Finnish
48545,hämärässä,141,in the twilight
48546,urastasi,141,your career
48547,hämäsi,141,mud
48548,kämmenet,141,palms
48549,rumalta,141,rumble
48550,tanssisi,141,your dance
48551,kompuroi,141,commur
48552,haleja,141,hugs
48553,kaurapuuroa,141,oatmeal
48554,vihollisille,141,For enemies
48555,fyysikot,141,physicists
48556,char,141,char
48557,karataan,141,caught up
48558,välittäväsi,141,caring
48559,valehtelijan,141,liar
48560,turruttaa,141,numb
48561,180-senttinen,141,180-centimeter
48562,poikaystävälleni,141,to my boyfriend
48563,tabletteja,141,tablets
48564,erotaan,141,be separated
48565,valmiilta,141,ready
48566,viitannut,141,referred to
48567,d.j.,141,D.J.
48568,rakkauskirjeitä,141,love letters
48569,voisikin,141,could
48570,lumotut,141,enhanced
48571,kolariin,141,to a colar
48572,puhuakseen,141,speak
48573,saithan,141,saith
48574,tietävänne,141,to know
48575,päätöksiin,141,to decide
48576,sisällissotaa,141,civil war
48577,delfiinien,141,dolphins
48578,tietään,141,of a particular
48579,kapinoida,141,rebel
48580,lääkkeitään,141,medicines
48581,yskii,141,cough
48582,israelia,141,Israel
48583,uskovatko,141,do you believe
48584,itsenäisen,141,independent
48585,lemmikkisi,141,your pet
48586,tieltäsi,141,on your way
48587,olekkin,141,ek
48588,haistele,141,smell
48589,väkevää,141,firm
48590,elvytystä,141,recovery
48591,puuhailee,141,wreath
48592,kuljettanut,141,transported
48593,ristiriitaista,141,contradictory
48594,tietäjä,141,seer
48595,alttarin,141,altar
48596,todistuksensa,141,one's testimony
48597,vieraanani,141,my guest
48598,selällesi,141,on your back
48599,cooperia,141,cooper
48600,opettajista,141,from teachers
48601,häpesi,141,shame
48602,kotityöt,141,housework
48603,testosteronia,141,Testosterone
48604,tarviin,141,to the need
48605,puolustusvoimien,141,Defense Forces
48606,ystävällisyyttä,141,kindness
48607,korjaisi,141,grind
48608,mittani,141,my measure
48609,päivineen,141,on the day
48610,teloitettavaksi,141,for execution
48611,rosvoa,141,robbery
48612,partioi,141,patrol
48613,lyömistä,141,beat
48614,aikaero,141,lag
48615,chanin,141,Chanin
48616,nauttisin,141,i would enjoy
48617,tarroja,141,stickers
48618,ylimielisyys,141,arrogance
48619,lanaa,141,sink
48620,puheilleen,141,to their speeches
48621,nänni,141,nipple
48622,kauppakirja,141,bill of sale
48623,rinnoista,141,breasts
48624,kilpailijansa,141,their competitors
48625,verenvuotoon,141,bleeding
48626,hitunen,141,bit
48627,oisit,141,you would
48628,särkyneen,141,broken
48629,koruni,141,jewelry
48630,barcelona,141,barcelona
48631,myyrän,141,sell
48632,mullisti,140,revolutionize
48633,edisonin,140,Edison
48634,austen,140,Austen
48635,harjoiteltava,140,practice
48636,häiritsevä,140,disruptive
48637,alallani,140,in my field
48638,kuuntelemalla,140,by listening to
48639,juna-asemalla,140,at the train station
48640,lke,140,lke
48641,poliittisten,140,political
48642,näyttelyssä,140,at the show
48643,tutkijoille,140,to researchers
48644,eastwood,140,EASTWOOD
48645,suhteisiin,140,for relationships
48646,vartenko,140,not
48647,kaverina,140,buddy
48648,rachelista,140,rachel
48649,siunattua,140,blessed
48650,kulutan,140,I spend
48651,surkeana,140,miserable
48652,kostavat,140,culminate
48653,vammansa,140,injury
48654,scavo,140,SCAVO
48655,aamukolmelta,140,from the morning
48656,hopean,140,silver
48657,bingham,140,bingham
48658,kaljun,140,gorgeous
48659,caryn,140,Cary
48660,varotoimenpide,140,precautionary measure
48661,herrasmiestä,140,gentleman
48662,kansalaisuuden,140,nationality
48663,vaistoihisi,140,to your instincts
48664,määräsit,140,volumes
48665,liikkuvasta,140,moving
48666,torrance,140,torrance
48667,kaksoisolennon,140,dual cell
48668,sodista,140,sod
48669,perhoset,140,butterflies
48670,turistien,140,tourists
48671,leann,140,lean
48672,brooklynistä,140,Brooklyn
48673,istutettu,140,planned
48674,seurustelua,140,dating
48675,camillen,140,Camille
48676,oikeusavustaja,140,legal assistant
48677,viivästyy,140,delayed
48678,hobbsin,140,Hobbs
48679,tyttökulta,140,girlfriend
48680,luuiin,140,bone
48681,mafiasta,140,from mafia
48682,pääsiäistä,140,Easter
48683,ohjaimet,140,controls
48684,sanoithan,140,you said
48685,napoli,140,Naples
48686,sillähän,140,at all times
48687,saaria,140,islands
48688,jeparit,140,Jeps
48689,potkittu,140,kicked
48690,helpot,140,easy
48691,osasimme,140,we could
48692,airlinesin,140,Airlines
48693,gustaf,140,gustaf
48694,noiduttu,140,under a spell
48695,hätäännyin,140,astray
48696,kohdusta,140,label
48697,epätarkka,140,inaccurate
48698,selviytymistä,140,survival
48699,alushousuni,140,Underwear
48700,pikkupojasta,140,a little boy
48701,orvoksi,140,orphan
48702,arvaamaan,140,guess
48703,jumalanpalvelus,140,worship
48704,piiloudun,140,hide
48705,laulatte,140,sing
48706,olkapäässä,140,on the shoulder
48707,laskeutumiseen,140,for landing
48708,osoitella,140,show
48709,panostanut,140,invested
48710,elimistössä,140,in the body
48711,kenkiäsi,140,your shoes
48712,alexilla,140,Alex
48713,kurjuus,140,misery
48714,crassus,140,crassus
48715,liikenisikö,140,traffic
48716,evaa,140,Eva
48717,maalasit,140,paints
48718,peppusi,140,trapping
48719,siitepölyä,140,pollen
48720,tokihan,140,tokin
48721,valokuvissa,140,In the photographs
48722,jatkuvana,140,continuously
48723,kapitalismin,140,Capitalism
48724,pisteestä,140,from a point
48725,kytistä,140,switch
48726,ruoska,140,whip
48727,napanuora,140,umbilical cord
48728,coca-cola,140,Coca-Cola
48729,dai,140,Dai
48730,vaarallisessa,140,in dangerous
48731,riistäytyi,140,waved
48732,hitleristä,140,Hitler
48733,kärpästen,140,flies
48734,kärsimyksensä,140,suffering
48735,pauloissa,140,in pairs
48736,jääkarhu,140,polar bear
48737,junioria,140,junior
48738,viemistä,140,bring out
48739,jaksamaan,140,permitted
48740,syntymästään,140,birth
48741,säteilevä,140,radiating
48742,liftata,140,hitch
48743,käskynsä,140,their commandments
48744,voitais,140,butter
48745,ylistä,140,praise
48746,hikotus,140,splendor
48747,sulatella,140,melt
48748,isänsäkin,140,father's
48749,sims,140,Sims
48750,tehtyään,140,after making
48751,panta,140,band
48752,rakkaimpani,140,my beloved
48753,heilu,140,eating
48754,vyöhykkeen,140,zone
48755,mulkkusi,140,mulquet
48756,mudasta,140,mud
48757,nelivuotias,140,four-year-old
48758,röntgen,140,X-ray
48759,hukattavana,140,overwhelm
48760,nostatte,140,lift up
48761,säännöllinen,140,regular
48762,suolen,140,bowel
48763,pyörivän,140,rotating
48764,tanne,140,here
48765,reseptilääkkeitä,140,prescription drugs
48766,luettua,140,read
48767,kirjoituskone,140,writing machine
48768,havainnon,140,observation
48769,sideshow,140,sidesthow
48770,poliisivoimissa,140,in the police force
48771,selviydyit,140,cope
48772,2000-luvulla,140,In the 21st century
48773,legioonan,140,legion
48774,simson,140,Simson
48775,kloroformia,140,chloroform
48776,uudenlaisen,140,new
48777,itsenäsi,140,one's self
48778,horne,140,horne
48779,jälkemme,140,obtain
48780,amara,140,amara
48781,loppuviikosta,140,from the end of the week
48782,siedettävä,140,tolerable
48783,merkeistä,140,signs
48784,odotetaanko,140,whether or not to be expected
48785,selkäsauna,140,spanking
48786,hobitti,140,hob
48787,polttareita,140,burn
48788,meikkejä,140,Makes
48789,ammattisi,140,your occupation
48790,huivia,140,scarves
48791,karkaamme,140,Let's get off
48792,tärinä,140,shaking
48793,tukenne,140,your support
48794,sanojeni,140,my words
48795,poski,140,cheek
48796,leviäminen,140,spread
48797,dawsonin,140,Dawson
48798,heräävän,140,awakening
48799,korvaamattomia,140,indiscriminate
48800,mittaamme,140,We measure
48801,kertoisimme,140,we would tell
48802,kasvoistaan,140,face
48803,toimistomme,140,Our office
48804,jätinkö,140,whether
48805,hulda,140,hulda
48806,tutkimusmatkailija,140,explorer
48807,kunnioitettavaa,140,respectable
48808,lähtöänne,140,output
48809,julkeaa,140,declared
48810,rotanmyrkkyä,140,rabbit poison
48811,hampain,140,teeth
48812,toimisin,140,i act
48813,lev,140,lev
48814,pukeuduit,140,dressed up
48815,kuulemisen,140,consultation
48816,nanny,140,nanny
48817,päämäärämme,140,Our goal
48818,pukenut,140,dodge
48819,irlantilaisen,140,Irish
48820,kalloja,140,skirts
48821,valkoisiin,140,white
48822,roomalaisen,140,roman
48823,tunneleista,140,tunnels
48824,minimoida,140,minimize
48825,ylläpitämään,140,maintain
48826,huutamassa,140,screaming
48827,jessup,140,jessup
48828,yksisilmäinen,140,single-eyed
48829,kuningaskuntaa,140,kingdom
48830,roan,140,roa
48831,vapahtajamme,140,our Savior
48832,kerrakseen,140,enough
48833,hoitavansa,140,attend
48834,cheerleaderit,140,cheerleaders
48835,unelias,140,sleepy
48836,enempi,140,further
48837,emon,140,emon
48838,cola,140,cola
48839,bethiä,140,Bethi
48840,kielenkäyttöä,140,Language
48841,vaimoon,140,wife
48842,hämmentyneitä,140,perplexed
48843,olithan,140,have you
48844,astuivat,140,stepped up
48845,oluesi,140,your beer
48846,festivaali,140,festival
48847,avoauto,140,convertible
48848,etupuolella,140,front
48849,kiraa,140,brush
48850,merijalkaväkeä,140,marine
48851,puoliajalla,140,in a half-time
48852,kaukaiselta,140,distant
48853,pitaa,140,keep
48854,nuha,140,cold in the head
48855,syyllisyyteen,140,guilty
48856,maksaneen,140,paid
48857,adoptoimme,140,we will adopt
48858,halle,140,Halle
48859,verellään,140,blood
48860,janin,140,jan
48861,terroristiksi,140,terrorist
48862,kreikasta,140,from Greece
48863,lehtesi,140,leaflet
48864,kuskille,140,on
48865,pentele,140,puff
48866,terällä,140,blade
48867,leijui,140,float
48868,innostava,140,inspirational
48869,näkymää,140,view
48870,lokerossa,140,in the tray
48871,kukkasia,140,flower
48872,asetumme,140,We set up
48873,liikkuuko,140,do
48874,heleniä,140,helen
48875,pakottiko,140,sanction
48876,korteilla,140,on the cards
48877,kavereilleen,140,to their friends
48878,värisi,140,your color
48879,rekisterikilvet,140,License plates
48880,pyörry,140,swirling
48881,sheppardin,140,Sheppard
48882,himaan,140,up
48883,järistyksen,140,quake
48884,ymmärtäisivät,140,would understand
48885,michaelilla,140,With Michael
48886,hullummalta,140,mad
48887,vierailut,140,visits
48888,kodissasi,140,In your home
48889,donille,140,to don
48890,ip-osoitteen,139,IP address
48891,korkeudesta,139,height
48892,piikkilankaa,139,barbed wire
48893,esittäneet,139,presented
48894,kampaajalle,139,to the hairdresser
48895,rosemaryn,139,Rosemary
48896,arvattava,139,guess
48897,salattiin,139,picked up
48898,talvesta,139,winter
48899,vipua,139,lever
48900,vannot,139,swear
48901,ulkomainen,139,foreign
48902,aineella,139,with a substance
48903,kuolevia,139,dead
48904,valtiolla,139,by the state
48905,ahteriin,139,to the Ahter
48906,leivänpaahdin,139,toaster
48907,puserosi,139,blouse
48908,chrissie,139,chrissie
48909,velvoitteita,139,obligations
48910,tolliver,139,tollover
48911,korjattavaksi,139,repair
48912,fossiili,139,fossil
48913,uppoutunut,139,preoccupied
48914,päätelty,139,concurrent
48915,huolenaiheeni,139,my concern
48916,ohjelmansa,139,program
48917,myönnytyksiä,139,concessions
48918,sieviä,139,smell
48919,precious,139,precious
48920,paskapuhe,139,crap
48921,persian,139,Persian
48922,valitukset,139,complaints
48923,kylmyyttä,139,cold
48924,scout,139,scout
48925,epäilyni,139,doubtful
48926,tyynyni,139,my pillow
48927,alaisensa,139,under
48928,levitämme,139,We apply
48929,suljettuina,139,closed
48930,määräämme,139,We determine
48931,alkukantaista,139,origin
48932,hobson,139,hobson
48933,saukko,139,otter
48934,ruusua,139,rose
48935,tsaari,139,tsar
48936,joffrey,139,jiffrey
48937,raymondia,139,Raymond
48938,mukavuudet,139,comforts
48939,menisittekö,139,would you go
48940,hiessä,139,in a hill
48941,ruotsalaisia,139,Swedes
48942,yhdiste,139,compound
48943,hiilihydraatteja,139,carbohydrates
48944,mariel,139,mariel
48945,huomisaamuun,139,tomorrow morning
48946,tappelevan,139,fighting
48947,päiväkirjansa,139,dictionary
48948,kyklooppi,139,Cyclops
48949,finney,139,finney
48950,voittaako,139,win
48951,selittävät,139,explain
48952,sitruuna,139,lemon
48953,jäljitellä,139,imitate
48954,ammattinne,139,in your profession
48955,ylipappi,139,high priest
48956,lintunen,139,Lintunen
48957,pimennys,139,blackout
48958,vaaleanpunaisen,139,pink
48959,liikkumasta,139,from moving
48960,sidomme,139,bid
48961,vikanne,139,defect
48962,levysi,139,disk
48963,kauhuja,139,horror
48964,järjestelyistä,139,the arrangements
48965,aitioon,139,to the aitio
48966,valitit,139,you selected
48967,allegra,139,Allegra
48968,kuukaudella,139,months
48969,pilaamisesta,139,from a spoil
48970,pommituksen,139,bombing
48971,henkivakuutuksen,139,life insurance
48972,kaatumaan,139,crash
48973,itsekkään,139,selfish
48974,oletatte,139,you will assume
48975,ystävällisyys,139,friendliness
48976,murhatuksi,139,murdered
48977,dynastian,139,dynasty
48978,jaettava,139,dividend
48979,tarpeesta,139,from
48980,billien,139,billien
48981,shakin,139,chess
48982,äänestäjien,139,voters
48983,senior,139,senior
48984,ajastimen,139,timer
48985,versailles,139,versailles
48986,omi,139,ominous
48987,unelmaansa,139,to their dreams
48988,boog,139,boog
48989,suze,139,suze
48990,asetelma,139,still life
48991,auktoriteettia,139,authority
48992,losin,139,losin
48993,pyörätuolin,139,wheelchair
48994,inger,139,injury
48995,salakuljettajat,139,smugglers
48996,hakkaamme,139,weapon
48997,angelesia,139,Angeles
48998,vitsini,139,joined
48999,identiteettiä,139,identity
49000,kakkoselle,139,to the second
49001,maeby,139,maeby
49002,mahtavinta,139,awesome
49003,merkitkää,139,mark
49004,kolumbia,139,Colombia
49005,vetäminen,139,draw
49006,näköpiirissä,139,in sight
49007,kohtusi,139,wonderful
49008,saksien,139,scissors
49009,lantti,139,coin
49010,tuleekaan,139,to come
49011,kahdeksalla,139,eight
49012,aikaisempi,139,previous
49013,lähtevä,139,outgoing
49014,työvuorossa,139,in shock
49015,disco,139,disco
49016,jumalallista,139,divine
49017,pilottia,139,pilot
49018,donahue,139,donahue
49019,hukkasitko,139,Did you waste
49020,kakkosmies,139,second
49021,nosturi,139,crane
49022,erotamme,139,we'll stand out
49023,vaiheita,139,steps
